"","x"
"1320","contig_14146"
"1321","contig_14147"
"1322","contig_14149"
"1323","contig_14151"
"1324","contig_14153"
"1325","contig_14154"
"1326","contig_14155"
"1327","contig_14162"
"1328","contig_14164"
"1329","contig_14166"
"1330","contig_14170"
"1331","contig_14171"
"1332","contig_14174"
"1333","contig_14176"
"1334","contig_14179"
"1335","contig_14185"
"1336","contig_14191"
"1337","contig_14193"
"1338","contig_14196"
"1339","contig_14202"
"1340","contig_14207"
"1341","contig_14208"
"1342","contig_14213"
"1343","contig_14214"
"1344","contig_14216"
"1345","contig_1422"
"1346","contig_14222"
"1347","contig_14229"
"1348","contig_14233"
"1349","contig_14237"
"1350","contig_14245"
"1351","contig_14249"
"1352","contig_14253"
"1353","contig_14256"
"1354","contig_1426"
"1355","contig_14264"
"1356","contig_14266"
"1357","contig_14268"
"1358","contig_14273"
"1359","contig_14274"
"1360","contig_14275"
"1361","contig_14276"
"1362","contig_14281"
